pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      340    0.001    0.000    0.246    0.001 __init__.py:2047(find_on_path)
      644    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
       59    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      372    0.001    0.000    0.012    0.000 __init__.py:1325(safe_version)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
   326/85    0.001    0.000    0.024    0.000 sre_parse.py:435(_parse_sub)
      235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      368    0.001    0.000    0.084    0.000 __init__.py:2785(_get_metadata)
     1127    0.001    0.000    0.001    0.000 __init__.py:2657(key)
     2694    0.001    0.000    0.001    0.000 version.py:282(<genexpr>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     1616    0.001    0.000    0.009    0.000 __init__.py:2059(<genexpr>)
     2911    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      334    0.001    0.000    0.001    0.000 functools.py:34(update_wrapper)
      241    0.001    0.000    0.003    0.000 __init__.py:1493(_validate_resource_path)
       17    0.001    0.000    0.509    0.030 __init__.py:1(<module>)
      181    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      550    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
      161    0.001    0.000    0.004    0.000 __init__.py:2890(insert_on)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     1016    0.001    0.000    0.016    0.000 version.py:107(__init__)
     5460    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    181/7    0.001    0.000    0.921    0.132 <frozen importlib._bootstrap_external>:777(exec_module)
      161    0.001    0.000    0.149    0.001 __init__.py:2796(activate)
     1899    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       12    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      214    0.001    0.000    0.118    0.001 __init__.py:2207(_handle_ns)
      644    0.001    0.000    0.003    0.000 ntpath.py:203(splitext)
      461    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      253    0.001    0.000    0.002    0.000 ntpath.py:61(isabs)
